HIGH,MID,LOW
เหี้ย,ฟาย,ควาย
เชี่ย,กู,แรด
แตด,มึง,กระทิง
จรวย,ปี้กัน,พะยูน
ครวย,อัปปรี,เฮงซวย
หัวควย,หน้าด้าน,ใจหมา
ควย,กะหรี่,แมงดา
ไอ้สัตว์,ชิบหาย,ขึ้แตก
สัตว์เอ้ย,ฉิบหาย,หมาบ้า
อีสัตว์,ตอแหล,
สาส,ลูกโสเภณี,
สัส,ชาติชั่ว,
สัด,สถุล,
เย็ด,แดก,
เควี่ย,ขึ้นครู,
เงี่ยน,วิปลาส,
อีห่า,เส็งเครง,
ไอ้ห่า,สำส่อน,
หน้าหี,สันดาน,
หี,ล่อกัน,
หำ,เอากัน,
หรรม,ขายตัว,
พ่อมึงตาย,อยากเอาหญิง,
แม่มึงตาย,,
พ่อมึง,,
แม่มึง,,
พ่อง,,
แม่ง,,
เจี๊ยว,,
ระยำ,,
สวะ,,
เสือก,,
หมอย,,
จัญไร,,
จังไร,,
ส้นตีน,,
ดอกทอง,,
ทะลุถุงยาง,,
ชิงหมาเกิด,,
ช้างเย็ด,,
ชาติหมา,,
หน้าตัวเมีย,,
เดนมนุษย์,,
หัวดอ,,
กระดอ,,
หนังหมา,,
หน้าปลวก,,
อีดอก,,
ฟักยู,,
หน้าโง่,,
อีโง่,,
ไอ้โง่,,
อีขี้ข้า,,
ไอ้กาก,,
อีเปรต,,
อีกาก,,
อีกระหรี่,,
อีกะหรี,,
อีร้อย,,
